Approach,Segment_Length,Fold,Accuracy,Precision,Recall,F1_Score
LR_WA,128,5,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6086956521739131
LR_WA,256,1,0.5833333333333334,0.5625,0.75,0.6428571428571429
LR_WA,256,2,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75
LR_WA,256,3,0.6521739130434783,0.6,0.6,0.6
LR_WA,256,4,0.7391304347826086,1.0,0.6666666666666666,0.8
LR_WA,256,5,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6086956521739131
LR_WA,512,1,0.5833333333333334,0.5625,0.75,0.6428571428571429
LR_WA,512,2,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75
LR_WA,512,3,0.6521739130434783,0.6,0.6,0.6
LR_WA,512,4,0.7391304347826086,1.0,0.6666666666666666,0.8
LR_WA,512,5,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6086956521739131
LR_WA,1024,1,0.5833333333333334,0.5625,0.75,0.6428571428571429
LR_WA,1024,2,0.7391304347826086,0.8181818181818182,0.6923076923076923,0.75
LR_WA,1024,3,0.6521739130434783,0.6,0.6,0.6
LR_WA,1024,4,0.6956521739130435,1.0,0.6111111111111112,0.7586206896551724
LR_WA,1024,5,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6086956521739131
RNN_SMV,32,1,0.7166666666666667,0.7003663003663003,0.7500000000000001,0.7198241758241759
RNN_SMV,32,2,0.6434782608695653,0.8319696969696968,0.46153846153846156,0.5827485380116958
RNN_SMV,32,3,0.7130434782608696,0.8247619047619048,0.43999999999999995,0.5687955182072829
RNN_SMV,32,4,0.7304347826086957,1.0,0.6555555555555557,0.7900651517559194
RNN_SMV,32,5,0.7826086956521738,0.8954545454545455,0.6363636363636364,0.7369234137035996
RNN_SMV,64,1,0.7083333333333334,0.7954545454545455,0.5666666666666667,0.6559558316080055
RNN_SMV,64,2,0.7217391304347827,0.8519696969696969,0.6153846153846153,0.7125823451910408
RNN_SMV,64,3,0.6869565217391305,0.7533333333333334,0.42000000000000004,0.5383333333333333
RNN_SMV,64,4,0.6434782608695653,1.0,0.5444444444444445,0.7041050903119869
RNN_SMV,64,5,0.7043478260869565,0.7342568542568542,0.618181818181818,0.6672727272727272
RNN_SMV,128,1,0.6833333333333333,0.7276767676767676,0.5833333333333333,0.646489742141916
RNN_SMV,128,2,0.7130434782608696,0.8072727272727273,0.6461538461538462,0.717391304347826
RNN_SMV,128,3,0.6695652173913043,0.6945238095238095,0.44000000000000006,0.5354248366013072
RNN_SMV,128,4,0.773913043478261,1.0,0.711111111111111,0.830967741935484
