Approach,Segment_Length,Fold,Accuracy,Precision,Recall,F1_Score
LR_WA,32,4,0.5652173913043478,1.0,0.4444444444444444,0.6153846153846154
LR_WA,32,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_WA,64,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_WA,64,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_WA,64,3,0.6521739130434783,0.625,0.5,0.5555555555555556
LR_WA,64,4,0.5652173913043478,1.0,0.4444444444444444,0.6153846153846154
LR_WA,64,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_WA,128,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_WA,128,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_WA,128,3,0.6521739130434783,0.625,0.5,0.5555555555555556
LR_WA,128,4,0.5652173913043478,1.0,0.4444444444444444,0.6153846153846154
LR_WA,128,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_WA,256,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_WA,256,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_WA,256,3,0.6521739130434783,0.625,0.5,0.5555555555555556
LR_WA,256,4,0.5652173913043478,1.0,0.4444444444444444,0.6153846153846154
LR_WA,256,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_WA,512,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_WA,512,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_WA,512,3,0.6521739130434783,0.625,0.5,0.5555555555555556
LR_WA,512,4,0.5652173913043478,1.0,0.4444444444444444,0.6153846153846154
LR_WA,512,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
LR_WA,1024,1,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.56
LR_WA,1024,2,0.7391304347826086,0.8888888888888888,0.6153846153846154,0.7272727272727273
LR_WA,1024,3,0.6521739130434783,0.625,0.5,0.5555555555555556
LR_WA,1024,4,0.5652173913043478,1.0,0.4444444444444444,0.6153846153846154
LR_WA,1024,5,0.7391304347826086,0.7777777777777778,0.6363636363636364,0.7
RNN_SMV,32,1,0.7916666666666667,0.8487645687645688,0.7333333333333334,0.7781931904860967
RNN_SMV,32,2,0.7565217391304349,0.975,0.5846153846153845,0.7293506493506492
RNN_SMV,32,3,0.791304347826087,0.9428571428571428,0.56,0.6990196078431372
RNN_SMV,32,4,0.7130434782608697,1.0,0.6333333333333333,0.7724384236453202
RNN_SMV,32,5,0.808695652173913,0.975,0.618181818181818,0.7552115583075335
RNN_SMV,64,1,0.7416666666666666,0.8972222222222221,0.5499999999999999,0.6735200746965452
RNN_SMV,64,2,0.6956521739130435,0.8734126984126984,0.5384615384615385,0.6642424242424242
RNN_SMV,64,3,0.7391304347826086,1.0,0.4,0.5714285714285714
RNN_SMV,64,4,0.6782608695652174,1.0,0.5888888888888889,0.7396387520525451
RNN_SMV,64,5,0.7652173913043477,0.9400000000000001,0.5636363636363636,0.6980392156862746
RNN_SMV,128,1,0.6583333333333334,0.7702164502164501,0.4666666666666666,0.5679672326596542
RNN_SMV,128,2,0.7217391304347824,0.8691919191919192,0.6,0.7075757575757576
RNN_SMV,128,3,0.6782608695652174,0.71,0.44000000000000006,0.5399999999999999
RNN_SMV,128,4,0.7043478260869565,0.9523809523809523,0.6555555555555557,0.7752994067482388
RNN_SMV,128,5,0.7217391304347825,0.7317948717948717,0.6727272727272727,0.6941429661109295
RNN_SMV,256,1,0.7083333333333333,0.817063492063492,0.5333333333333333,0.6439598997493734
RNN_SMV,256,2,0.6608695652173913,0.7811111111111112,0.5538461538461539,0.6470920383963861
RNN_SMV,256,3,0.7043478260869566,0.8028571428571428,0.44000000000000006,0.5635994397759103
RNN_SMV,256,4,0.7391304347826086,0.9427106227106228,0.711111111111111,0.8095356793743891
RNN_SMV,256,5,0.7043478260869566,0.7033333333333334,0.6545454545454545,0.6765217391304347
RNN_SMV,512,1,0.5333333333333333,0.5328282828282829,0.5,0.5145962732919255
RNN_SMV,512,2,0.6434782608695653,0.8158730158730159,0.476923076923077,0.5992891319207109
RNN_SMV,512,3,0.7217391304347825,0.7933333333333333,0.5,0.6079824561403508
RNN_SMV,512,4,0.5826086956521739,1.0,0.4666666666666666,0.6343443223443224
RNN_SMV,512,5,0.6782608695652173,0.7198412698412697,0.5272727272727272,0.6078362573099415
RNN_SMV,1024,1,0.4999999999999999,0.505,0.35,0.4108225108225108
RNN_SMV,1024,2,0.5391304347826088,0.6344444444444445,0.4153846153846154,0.499182739457339
